Comment,Designator,Footprint,LCSC,Quantity
10n,C6,C_0402_1005Metric,C15195,1
100n,"C1,C10,C2,C4",C_0402_1005Metric,C1525,4
Conn_01x04,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
4.7u,"C3,C5",C_0603_1608Metric,C19666,2
10k,R1,R_0603_1608Metric,C25744,1
SW_Push,SW1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
XC6206PxxxMR,U1,SOT-23-3,C5148692,1
4.7u,"C7,C8,C9",C_0603_1608Metric,C52923,3
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D5,D6,D7,D8,D9",D_SOD-123,C7420318,40
STM32F072CBTx,U2,LQFP-48_7x7mm_P0.5mm,C81720,1
1N4148W,D41,D_SOD-123,,1
1N4148W,D42,D_SOD-123,,1
1N4148W,D44,D_SOD-123,,1
1N4148W,D43,D_SOD-123,,1
