Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,210.85625,-47.936754,45.0,bottom
C10,100n,C_0402_1005Metric,207.366839,-58.645661,135.0,bottom
C2,100n,C_0402_1005Metric,212.345661,-59.945661,225.0,bottom
C3,4.7u,C_0603_1608Metric,211.779074,-47.036754,45.0,bottom
C4,100n,C_0402_1005Metric,206.166839,-57.645661,315.0,bottom
C5,1u,C_0603_1608Metric,205.033242,-56.929258,315.0,bottom
C6,10n,C_0402_1005Metric,217.645661,-53.166839,135.0,bottom
C7,4.7u,C_0603_1608Metric,218.58125,-54.08125,135.0,bottom
C8,1u,C_0603_1608Metric,180.40625,-35.68125,270.0,bottom
C9,1u,C_0603_1608Metric,177.402986,-39.191386,180.0,bottom
D1,1N4148W,D_SOD-123,35.024206,-23.05546,90.0,bottom
D10,1N4148W,D_SOD-123,194.567956,-23.05546,90.0,bottom
D11,1N4148W,D_SOD-123,213.617956,-23.05546,90.0,bottom
D12,1N4148W,D_SOD-123,254.198234,-23.21716,90.0,bottom
D13,1N4148W,D_SOD-123,37.405456,-42.10546,90.0,bottom
D14,1N4148W,D_SOD-123,46.930456,-42.10546,90.0,bottom
D15,1N4148W,D_SOD-123,65.980456,-42.10546,90.0,bottom
D16,1N4148W,D_SOD-123,85.030456,-42.10546,90.0,bottom
D17,1N4148W,D_SOD-123,104.080456,-42.10546,90.0,bottom
D18,1N4148W,D_SOD-123,123.130456,-42.10546,90.0,bottom
D19,1N4148W,D_SOD-123,142.180456,-42.10546,90.0,bottom
D2,1N4148W,D_SOD-123,42.167956,-23.05546,90.0,bottom
D20,1N4148W,D_SOD-123,161.230456,-42.10546,90.0,bottom
D21,1N4148W,D_SOD-123,180.280456,-42.10546,90.0,bottom
D22,1N4148W,D_SOD-123,199.330456,-42.10546,90.0,bottom
D23,1N4148W,D_SOD-123,230.088134,-42.267128,90.0,bottom
D24,1N4148W,D_SOD-123,15.993224,-61.15546,90.0,bottom
D25,1N4148W,D_SOD-123,53.280434,-61.15546,90.0,bottom
D26,1N4148W,D_SOD-123,56.852306,-61.15546,90.0,bottom
D27,1N4148W,D_SOD-123,75.306994,-61.15546,90.0,bottom
D28,1N4148W,D_SOD-123,94.356994,-61.15546,90.0,bottom
D29,1N4148W,D_SOD-123,113.406994,-61.15546,90.0,bottom
D3,1N4148W,D_SOD-123,61.217956,-23.05546,90.0,bottom
D30,1N4148W,D_SOD-123,132.456994,-61.15546,90.0,bottom
D31,1N4148W,D_SOD-123,151.506994,-61.15546,90.0,bottom
D32,1N4148W,D_SOD-123,170.556994,-61.15546,90.0,bottom
D33,1N4148W,D_SOD-123,189.606882,-61.155428,90.0,bottom
D34,1N4148W,D_SOD-123,232.767002,-61.15546,90.0,bottom
D35,1N4148W,D_SOD-123,242.205615,-61.15546,90.0,bottom
D36,1N4148W,D_SOD-123,32.642958,-80.267912,90.0,bottom
D37,1N4148W,D_SOD-123,46.732002,-80.267912,90.0,bottom
D38,1N4148W,D_SOD-123,68.163234,-80.267912,90.0,bottom
D39,1N4148W,D_SOD-123,99.119458,-80.205412,90.0,bottom
D4,1N4148W,D_SOD-123,80.267956,-23.05546,90.0,bottom
D40,1N4148W,D_SOD-123,144.660826,-80.267912,90.0,bottom
D41,1N4148W,D_SOD-123,173.235802,-80.205412,90.0,bottom
D42,1N4148W,D_SOD-123,184.844386,-80.205412,90.0,bottom
D43,1N4148W,D_SOD-123,206.275618,-80.205412,90.0,bottom
D44,1N4148W,D_SOD-123,239.81152,-80.205412,90.0,bottom
D5,1N4148W,D_SOD-123,99.317956,-23.05546,90.0,bottom
D6,1N4148W,D_SOD-123,118.367956,-23.05546,90.0,bottom
D7,1N4148W,D_SOD-123,137.417956,-23.05546,90.0,bottom
D8,1N4148W,D_SOD-123,156.467956,-23.05546,90.0,bottom
D9,1N4148W,D_SOD-123,175.517956,-23.05546,90.0,bottom
F1,500mA,Fuse_0805_2012Metric,239.017778,-25.49921,270.0,bottom
J1,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,198.536562,-31.05546,90.0,bottom
J4,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,234.255282,-17.01546,0.0,bottom
R1,10k,R_0603_1608Metric,233.957626,-51.26481,90.0,bottom
R2,5.1k,R_0603_1608Metric,231.576378,-23.217178,270.0,bottom
R3,5.1k,R_0603_1608Metric,236.934186,-23.217178,90.0,bottom
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,238.994338,-50.21481,180.0,bottom
U1,XC6206PxxxMR,SOT-23-3,177.402986,-36.04375,270.0,bottom
U2,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,211.60625,-53.90625,45.0,bottom
U3,USBLC6-2SC6,SOT-23-6,234.255282,-25.598426,90.0,bottom
